Player,Team,P,Season,start_year,end_year,dob,age_in_season,GP,G,A1,A2,SOG,FOW,FOL,PenT,game_score,game_score_game
Colleen Murphy,BUF,D,2017-2018,2017,2018,1993,24,14,0,0,2,7,0,0,0,2.02,0.14
Corey Stearns,BOS,F,2017-2018,2017,2018,1990,27,14,0,1,3,8,0,0,0,3.68,0.26
Corinne Buie,BUF,F,2016-2017,2016,2017,1992,24,17,9,1,2,48,0,0,0,16.02,0.94
Corinne Buie,BUF,F,2018-2019,2018,2019,1992,26,16,3,2,2,45,0,0,0,10.62,0.66
Corinne Buie,BUF,F,2017-2018,2017,2018,1992,25,15,4,1,5,48,0,0,0,13,0.87
Corinne Buie,BOS,F,2015-2016,2015,2016,1992,23,18,3,3,1,44,0,0,0,10.76,0.6
Corinne Buie,BUF,F,2019-2020,2019,2020,1992,27,24,6,4,3,68,202,208,9,16.37,0.68
Courtney Burke,NYR,D,2016-2017,2016,2017,1994,22,13,3,4,4,29,0,0,0,12.14,0.93
Courtney Burke,MET,D,2018-2019,2018,2019,1994,24,11,0,3,3,20,0,0,0,6.68,0.61
Courtney Burke,MET,D,2017-2018,2017,2018,1994,23,16,2,8,9,41,0,0,0,19.24,1.2
Courtney Carnes,BUF,F,2015-2016,2015,2016,NA,NA,4,0,0,0,0,0,0,0,0,0
Cydney Roesler,CTW,D,2016-2017,2016,2017,1994,22,17,1,2,4,25,0,0,0,7.94,0.47
Cydney Roesler,CTW,D,2018-2019,2018,2019,1994,24,2,0,0,0,2,0,0,0,0.2,0.1
Cydney Roesler,CTW,D,2017-2018,2017,2018,1994,23,14,1,1,0,26,0,0,0,4.5,0.32
Dana Trivigno,BOS,F,2018-2019,2018,2019,1994,24,13,2,3,1,43,0,0,0,9.66,0.74
Dana Trivigno,CTW,F,2016-2017,2016,2017,1994,22,16,3,3,3,43,0,0,0,11.98,0.75
Dana Trivigno,BOS,F,2017-2018,2017,2018,1994,23,13,3,4,1,46,0,0,0,11.86,0.91
Dani Cameranesi,BUF,F,2018-2019,2018,2019,1995,23,14,4,5,6,41,0,0,0,16.56,1.18
Danielle Ward,CTW,F,2015-2016,2015,2016,1989,26,18,5,3,2,21,0,0,0,11.12,0.62
Denisa Krizova,BOS,F,2018-2019,2018,2019,1994,24,16,6,5,3,27,0,0,0,15.18,0.95
Denise Cardello,CTW,F,2017-2018,2017,2018,1988,29,0,0,0,0,0,0,0,0,0,NA
Denna Laing,BOS,F,2017-2018,2017,2018,1991,26,NA,0,0,0,0,0,0,0,0,NA
Denna Laing,BOS,F,2015-2016,2015,2016,1991,24,2,0,0,0,2,0,0,0,0.2,0.1
Devon Skeats,BUF,F,2015-2016,2015,2016,1991,24,15,9,3,2,55,0,0,0,18.52,1.23
Devon Skeats,BUF,F,2016-2017,2016,2017,1991,25,16,4,0,1,32,0,0,0,7.86,0.49
